Area,Period,SOC,Occupation Title,Base Year,Projected Year,Change,Percent,Total Annual Openings,Growth Annual Openings,Replacement Annual Openings
3,2012-2022,' 15-1152,Computer Network Support Specialists,620,640,20,3.2%,10,0,10
3,2012-2022,' 15-2011,Actuaries,80,90,10,12.5%,0,0,0
3,2012-2022,' 15-2031,Operations Research Analysts,260,320,60,23.1%,20,10,10
3,2012-2022,' 17-0000,Architecture and Engineering Occupations,12390,12400,10,0.1%,330,30,300
3,2012-2022,' 17-1000,"Architects, Surveyors, and Cartographers",550,600,50,9.1%,10,0,10
3,2012-2022,' 17-1011,"Architects, Except Landscape and Naval",270,290,20,7.4%,10,0,10
3,2012-2022,' 17-1022,Surveyors,130,140,10,7.7%,0,0,0
3,2012-2022,' 17-2000,Engineers,8110,8100,-10,-0.1%,230,20,210
3,2012-2022,' 17-2041,Chemical Engineers,200,180,-20,-10%,10,0,10
3,2012-2022,' 17-2051,Civil Engineers,930,1010,80,8.6%,30,10,20
3,2012-2022,' 17-2061,Computer Hardware Engineers,300,300,0,0%,10,0,10
3,2012-2022,' 17-2071,Electrical Engineers,1500,1550,50,3.3%,40,10,30
3,2012-2022,' 17-2072,"Electronics Engineers, Except Computer",760,720,-40,-5.3%,20,0,20
3,2012-2022,' 17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",80,80,0,0%,0,0,0
3,2012-2022,' 17-2112,Industrial Engineers,1430,1430,0,0%,40,0,40
3,2012-2022,' 17-2131,Materials Engineers,160,160,0,0%,10,0,10
3,2012-2022,' 17-2141,Mechanical Engineers,1700,1640,-60,-3.5%,60,0,60
3,2012-2022,' 17-2199,"Engineers, All Other",610,570,-40,-6.6%,10,0,10
3,2012-2022,' 17-3000,"Drafters, Engineering Technicians, and Mapping Technicians",3730,3700,-30,-0.8%,80,10,70
3,2012-2022,' 17-3011,Architectural and Civil Drafters,240,240,0,0%,0,0,0
3,2012-2022,' 17-3012,Electrical and Electronics Drafters,160,160,0,0%,0,0,0
3,2012-2022,' 17-3013,Mechanical Drafters,280,260,-20,-7.1%,0,0,0
3,2012-2022,' 17-3022,Civil Engineering Technicians,150,150,0,0%,0,0,0
3,2012-2022,' 17-3023,Electrical and Electronics Engineering Technicians,1160,1170,10,0.9%,20,0,20
3,2012-2022,' 17-3025,Environmental Engineering Technicians,70,90,20,28.6%,0,0,0
3,2012-2022,' 17-3026,Industrial Engineering Technicians,840,780,-60,-7.1%,20,0,20
3,2012-2022,' 17-3027,Mechanical Engineering Technicians,220,230,10,4.5%,0,0,0
3,2012-2022,' 17-3029,"Engineering Technicians, Except Drafters, All Other",330,320,-10,-3%,10,0,10
3,2012-2022,' 17-3031,Surveying and Mapping Technicians,200,210,10,5%,0,0,0
3,2012-2022,' 19-0000,"Life, Physical, and Social Science Occupations",4210,4650,440,10.5%,170,40,130
3,2012-2022,' 19-1000,Life Scientists,530,590,60,11.3%,20,10,10
3,2012-2022,' 19-1012,Food Scientists and Technologists,50,70,20,40%,0,0,0
3,2012-2022,' 19-1031,Conservation Scientists,100,110,10,10%,0,0,0
3,2012-2022,' 19-1042,"Medical Scientists, Except Epidemiologists",210,240,30,14.3%,0,0,0
3,2012-2022,' 19-2000,Physical Scientists,430,470,40,9.3%,10,0,10
3,2012-2022,' 19-2031,Chemists,210,220,10,4.8%,10,0,10
3,2012-2022,' 19-2041,"Environmental Scientists and Specialists, Including Health",110,120,10,9.1%,0,0,0
3,2012-2022,' 19-3000,Social Scientists and Related Workers,1450,1610,160,11%,60,20,40
3,2012-2022,' 19-3031,"Clinical, Counseling, and School Psychologists",800,820,20,2.5%,20,0,20
3,2012-2022,' 19-3051,Urban and Regional Planners,130,140,10,7.7%,10,0,10
3,2012-2022,' 19-3093,Historians,100,100,0,0%,0,0,0
3,2012-2022,' 19-4000,"Life, Physical, and Social Science Technicians",1800,1980,180,10%,90,20,70
3,2012-2022,' 19-4011,Agricultural and Food Science Technicians,60,70,10,16.7%,0,0,0
3,2012-2022,' 19-4021,Biological Technicians,110,120,10,9.1%,0,0,0
3,2012-2022,' 19-4031,Chemical Technicians,200,200,0,0%,10,0,10
3,2012-2022,' 19-4091,"Environmental Science and Protection Technicians, Including Health",90,100,10,11.1%,0,0,0
3,2012-2022,' 21-0000,Community and Social Service Occupations,11560,12800,1240,10.7%,400,130,270
3,2012-2022,' 21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",10110,11050,940,9.3%,330,100,230
3,2012-2022,' 21-1011,Substance Abuse and Behavioral Disorder Counselors,550,630,80,14.5%,20,10,10
3,2012-2022,' 21-1012,"Educational, Guidance, School, and Vocational Counselors",1680,1810,130,7.7%,50,10,40
3,2012-2022,' 21-1013,Marriage and Family Therapists,80,90,10,12.5%,0,0,0
3,2012-2022,' 21-1014,Mental Health Counselors,490,550,60,12.2%,20,10,10
3,2012-2022,' 21-1015,Rehabilitation Counselors,730,810,80,11%,30,10,20
3,2012-2022,' 21-1019,"Counselors, All Other",190,220,30,15.8%,0,0,0
3,2012-2022,' 21-1021,"Child, Family, and School Social Workers",1060,1160,100,9.4%,30,10,20
3,2012-2022,' 21-1022,Healthcare Social Workers,650,750,100,15.4%,20,10,10
3,2012-2022,' 21-1023,Mental Health and Substance Abuse Social Workers,520,570,50,9.6%,20,10,10
3,2012-2022,' 21-1029,"Social Workers, All Other",800,800,0,0%,20,0,20
3,2012-2022,' 21-1091,Health Educators,270,310,40,14.8%,10,0,10
3,2012-2022,' 21-1092,Probation Officers and Correctional Treatment Specialists,460,430,-30,-6.5%,10,0,10
3,2012-2022,' 21-1093,Social and Human Service Assistants,2100,2330,230,11%,80,20,60
3,2012-2022,' 21-1094,Community Health Workers,120,140,20,16.7%,0,0,0
3,2012-2022,' 21-1099,"Community and Social Service Specialists, All Other",420,450,30,7.1%,10,0,10
3,2012-2022,' 21-2000,Religious Workers,1450,1750,300,20.7%,60,30,30
3,2012-2022,' 21-2011,Clergy,1080,1310,230,21.3%,40,20,20
3,2012-2022,' 21-2021,"Directors, Religious Activities and Education",340,400,60,17.6%,20,10,10
3,2012-2022,' 23-0000,Legal Occupations,5380,5710,330,6.1%,130,40,90
3,2012-2022,' 23-1000,"Lawyers, Judges, and Related Workers",3770,3920,150,4%,80,20,60
3,2012-2022,' 23-1011,Lawyers,2690,2840,150,5.6%,60,20,40
3,2012-2022,' 23-1022,"Arbitrators, Mediators, and Conciliators",630,630,0,0%,10,0,10
3,2012-2022,' 23-1023,"Judges, Magistrate Judges, and Magistrates",390,390,0,0%,10,0,10
3,2012-2022,' 23-2000,Legal Support Workers,1610,1790,180,11.2%,50,20,30
3,2012-2022,' 23-2011,Paralegals and Legal Assistants,1210,1380,170,14%,40,20,20
3,2012-2022,' 23-2091,Court Reporters,90,90,0,0%,0,0,0
3,2012-2022,' 23-2093,"Title Examiners, Abstractors, and Searchers",210,220,10,4.8%,0,0,0
3,2012-2022,' 23-2099,"Legal Support Workers, All Other",100,100,0,0%,0,0,0
3,2012-2022,' 25-0000,"Education, Training, and Library Occupations",52650,56020,3370,6.4%,1400,340,1060
3,2012-2022,' 25-1000,Postsecondary Teachers,12980,15080,2100,16.2%,410,210,200
3,2012-2022,' 25-1011,"Business Teachers, Postsecondary",490,570,80,16.3%,20,10,10
3,2012-2022,' 25-1021,"Computer Science Teachers, Postsecondary",270,310,40,14.8%,0,0,0
3,2012-2022,' 25-1022,"Mathematical Science Teachers, Postsecondary",320,360,40,12.5%,10,0,10
3,2012-2022,' 25-1042,"Biological Science Teachers, Postsecondary",210,250,40,19%,0,0,0
3,2012-2022,' 25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",70,80,10,14.3%,0,0,0
3,2012-2022,' 25-1052,"Chemistry Teachers, Postsecondary",120,140,20,16.7%,0,0,0
3,2012-2022,' 25-1053,"Environmental Science Teachers, Postsecondary",60,70,10,16.7%,0,0,0
3,2012-2022,' 25-1054,"Physics Teachers, Postsecondary",170,190,20,11.8%,0,0,0
3,2012-2022,' 25-1061,"Anthropology and Archeology Teachers, Postsecondary",60,70,10,16.7%,0,0,0
3,2012-2022,' 25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",60,70,10,16.7%,0,0,0
3,2012-2022,' 25-1063,"Economics Teachers, Postsecondary",130,150,20,15.4%,0,0,0
3,2012-2022,' 25-1065,"Political Science Teachers, Postsecondary",120,140,20,16.7%,0,0,0
3,2012-2022,' 25-1066,"Psychology Teachers, Postsecondary",190,220,30,15.8%,0,0,0
3,2012-2022,' 25-1067,"Sociology Teachers, Postsecondary",110,120,10,9.1%,0,0,0
3,2012-2022,' 25-1071,"Health Specialties Teachers, Postsecondary",1750,2370,620,35.4%,90,60,30
3,2012-2022,' 25-1072,"Nursing Instructors and Teachers, Postsecondary",380,510,130,34.2%,20,10,10
3,2012-2022,' 25-1081,"Education Teachers, Postsecondary",220,250,30,13.6%,0,0,0
3,2012-2022,' 25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",220,260,40,18.2%,0,0,0
3,2012-2022,' 25-1113,"Social Work Teachers, Postsecondary",90,100,10,11.1%,0,0,0
3,2012-2022,' 25-1121,"Art, Drama, and Music Teachers, Postsecondary",680,790,110,16.2%,20,10,10
3,2012-2022,' 25-1122,"Communications Teachers, Postsecondary",130,150,20,15.4%,0,0,0
3,2012-2022,' 25-1123,"English Language and Literature Teachers, Postsecondary",350,390,40,11.4%,20,10,10
3,2012-2022,' 25-1124,"Foreign Language and Literature Teachers, Postsecondary",200,230,30,15%,0,0,0
3,2012-2022,' 25-1125,"History Teachers, Postsecondary",200,220,20,10%,0,0,0
3,2012-2022,' 25-1126,"Philosophy and Religion Teachers, Postsecondary",140,170,30,21.4%,0,0,0
3,2012-2022,' 25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",140,160,20,14.3%,0,0,0
3,2012-2022,' 25-1194,"Vocational Education Teachers, Postsecondary",260,280,20,7.7%,0,0,0
3,2012-2022,' 25-1199,"Postsecondary Teachers, All Other",2480,2780,300,12.1%,70,30,40
3,2012-2022,' 25-2000,"Preschool, Primary, Secondary, and Special Education School Teachers",20180,20560,380,1.9%,510,40,470
3,2012-2022,' 25-2011,"Preschool Teachers, Except Special Education",1350,1490,140,10.4%,50,10,40
3,2012-2022,' 25-2012,"Kindergarten Teachers, Except Special Education",730,750,20,2.7%,20,0,20
3,2012-2022,' 25-2021,"Elementary School Teachers, Except Special Education",5580,5650,70,1.3%,130,10,120
3,2012-2022,' 25-2022,"Middle School Teachers, Except Special and Career/Technical Education",2600,2630,30,1.2%,60,0,60
3,2012-2022,' 25-2023,"Career/Technical Education Teachers, Middle School",180,180,0,0%,0,0,0
3,2012-2022,' 25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",5360,5400,40,0.7%,150,0,150
3,2012-2022,' 25-2032,"Career/Technical Education Teachers, Secondary School",370,380,10,2.7%,10,0,10
3,2012-2022,' 25-2051,"Special Education Teachers, Preschool",310,360,50,16.1%,20,10,10
3,2012-2022,' 25-2052,"Special Education Teachers, Kindergarten and Elementary School",1460,1480,20,1.4%,30,0,30
3,2012-2022,' 25-2053,"Special Education Teachers, Middle School",690,700,10,1.4%,10,0,10
3,2012-2022,' 25-2054,"Special Education Teachers, Secondary School",1500,1500,0,0%,30,0,30
3,2012-2022,' 25-3000,Other Teachers and Instructors,8320,8800,480,5.8%,190,50,140
3,2012-2022,' 25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors,440,430,-10,-2.3%,10,0,10
3,2012-2022,' 25-3021,Self-Enrichment Education Teachers,2080,2410,330,15.9%,70,30,40
3,2012-2022,' 25-3098,Substitute Teachers,4420,4460,40,0.9%,80,0,80
3,2012-2022,' 25-3099,"Teachers and Instructors, All Other",1380,1510,130,9.4%,30,10,20
3,2012-2022,' 25-4000,"Librarians, Curators, and Archivists",1600,1630,30,1.9%,50,0,50
3,2012-2022,' 25-4012,Curators,60,70,10,16.7%,0,0,0
3,2012-2022,' 25-4021,Librarians,900,910,10,1.1%,20,0,20
3,2012-2022,' 25-4031,Library Technicians,580,580,0,0%,30,0,30
3,2012-2022,' 25-9000,"Other Education, Training, and Library Occupations",9570,9950,380,4%,240,40,200
3,2012-2022,' 25-9011,Audio-Visual and Multimedia Collections Specialists,290,290,0,0%,0,0,0
3,2012-2022,' 25-9031,Instructional Coordinators,730,780,50,6.8%,20,10,10
3,2012-2022,' 25-9041,Teacher Assistants,8500,8830,330,3.9%,220,30,190
3,2012-2022,' 27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",12320,12760,440,3.6%,360,70,290
3,2012-2022,' 27-1000,Art and Design Workers,3470,3470,0,0%,90,0,90
3,2012-2022,' 27-1011,Art Directors,240,240,0,0%,10,0,10
3,2012-2022,' 27-1014,Multimedia Artists and Animators,190,190,0,0%,10,0,10
3,2012-2022,' 27-1021,Commercial and Industrial Designers,320,320,0,0%,10,0,10
3,2012-2022,' 27-1023,Floral Designers,370,360,-10,-2.7%,10,0,10
3,2012-2022,' 27-1024,Graphic Designers,990,1000,10,1%,30,0,30
3,2012-2022,' 27-1025,Interior Designers,210,220,10,4.8%,10,0,10
3,2012-2022,' 27-1026,Merchandise Displayers and Window Trimmers,260,260,0,0%,10,0,10
3,2012-2022,' 27-1027,Set and Exhibit Designers,150,150,0,0%,0,0,0
3,2012-2022,' 27-2000,"Entertainers and Performers, Sports and Related Workers",4130,4480,350,8.5%,160,40,120
3,2012-2022,' 27-2012,Producers and Directors,520,510,-10,-1.9%,20,0,20
3,2012-2022,' 27-2022,Coaches and Scouts,1430,1690,260,18.2%,70,30,40
3,2012-2022,' 27-2023,"Umpires, Referees, and Other Sports Officials",110,110,0,0%,0,0,0
3,2012-2022,' 27-2031,Dancers,170,180,10,5.9%,10,0,10
3,2012-2022,' 27-2041,Music Directors and Composers,720,760,40,5.6%,20,0,20
3,2012-2022,' 27-2042,Musicians and Singers,800,840,40,5%,20,0,20
3,2012-2022,' 27-2099,"Entertainers and Performers, Sports and Related Workers, All Other",150,150,0,0%,0,0,0
3,2012-2022,' 27-3000,Media and Communication Workers,3420,3550,130,3.8%,100,30,70
3,2012-2022,' 27-3011,Radio and Television Announcers,150,150,0,0%,0,0,0
3,2012-2022,' 27-3012,Public Address System and Other Announcers,50,50,0,0%,0,0,0
3,2012-2022,' 27-3021,Broadcast News Analysts,60,50,-10,-16.7%,0,0,0
3,2012-2022,' 27-3022,Reporters and Correspondents,230,190,-40,-17.4%,10,0,10
3,2012-2022,' 27-3031,Public Relations Specialists,840,930,90,10.7%,20,10,10
3,2012-2022,' 27-3041,Editors,680,590,-90,-13.2%,20,0,20
3,2012-2022,' 27-3042,Technical Writers,170,200,30,17.6%,10,0,10
3,2012-2022,' 27-3043,Writers and Authors,640,630,-10,-1.6%,10,0,10
3,2012-2022,' 27-3091,Interpreters and Translators,510,670,160,31.4%,30,20,10
3,2012-2022,' 27-3099,"Media and Communication Workers, All Other",90,90,0,0%,0,0,0
3,2012-2022,' 27-4000,Media and Communication Equipment Workers,1310,1260,-50,-3.8%,20,0,20
3,2012-2022,' 27-4011,Audio and Video Equipment Technicians,150,170,20,13.3%,0,0,0
3,2012-2022,' 27-4012,Broadcast Technicians,200,190,-10,-5%,0,0,0
3,2012-2022,' 27-4021,Photographers,660,640,-20,-3%,10,0,10
3,2012-2022,' 27-4031,"Camera Operators, Television, Video, and Motion Picture",90,90,0,0%,0,0,0
3,2012-2022,' 27-4032,Film and Video Editors,120,110,-10,-8.3%,0,0,0
3,2012-2022,' 29-0000,Healthcare Practitioners and Technical Occupations,36720,41330,4610,12.6%,1220,460,760
3,2012-2022,' 29-1000,Health Diagnosing and Treating Practitioners,22820,25320,2500,11%,720,250,470
3,2012-2022,' 29-1011,Chiropractors,140,150,10,7.1%,0,0,0
3,2012-2022,' 29-1021,"Dentists, General",390,410,20,5.1%,10,0,10
3,2012-2022,' 29-1024,Prosthodontists,50,50,0,0%,0,0,0
3,2012-2022,' 29-1031,Dietitians and Nutritionists,300,340,40,13.3%,0,0,0
3,2012-2022,' 29-1041,Optometrists,110,130,20,18.2%,0,0,0
3,2012-2022,' 29-1051,Pharmacists,1010,1080,70,6.9%,30,10,20
3,2012-2022,' 29-1062,Family and General Practitioners,190,200,10,5.3%,10,0,10
3,2012-2022,' 29-1066,Psychiatrists,130,140,10,7.7%,0,0,0
3,2012-2022,' 29-1067,Surgeons,180,210,30,16.7%,10,0,10
3,2012-2022,' 29-1069,"Physicians and Surgeons, All Other",2020,2270,250,12.4%,80,30,50
3,2012-2022,' 29-1071,Physician Assistants,710,890,180,25.4%,30,20,10
3,2012-2022,' 29-1081,Podiatrists,60,60,0,0%,0,0,0
3,2012-2022,' 29-1122,Occupational Therapists,620,700,80,12.9%,20,10,10
3,2012-2022,' 29-1123,Physical Therapists,1030,1220,190,18.4%,50,20,30
3,2012-2022,' 29-1124,Radiation Therapists,90,100,10,11.1%,0,0,0
3,2012-2022,' 29-1125,Recreational Therapists,180,190,10,5.6%,0,0,0
3,2012-2022,' 29-1126,Respiratory Therapists,350,380,30,8.6%,10,0,10
3,2012-2022,' 29-1127,Speech-Language Pathologists,680,740,60,8.8%,20,10,10
3,2012-2022,' 29-1129,"Therapists, All Other",170,210,40,23.5%,0,0,0
3,2012-2022,' 29-1131,Veterinarians,290,290,0,0%,10,0,10
3,2012-2022,' 29-1141,Registered Nurses,12080,13270,1190,9.9%,350,120,230
3,2012-2022,' 29-1151,Nurse Anesthetists,50,60,10,20%,0,0,0
3,2012-2022,' 29-1171,Nurse Practitioners,920,1090,170,18.5%,40,20,20
3,2012-2022,' 29-1181,Audiologists,70,80,10,14.3%,0,0,0
3,2012-2022,' 29-1199,"Health Diagnosing and Treating Practitioners, All Other",230,230,0,0%,10,0,10
3,2012-2022,' 29-2000,Health Technologists and Technicians,13390,15470,2080,15.5%,490,210,280
3,2012-2022,' 29-2011,Medical and Clinical Laboratory Technologists,790,860,70,8.9%,30,10,20
3,2012-2022,' 29-2012,Medical and Clinical Laboratory Technicians,910,1100,190,20.9%,40,20,20
3,2012-2022,' 29-2021,Dental Hygienists,1050,1210,160,15.2%,50,20,30
3,2012-2022,' 29-2031,Cardiovascular Technologists and Technicians,230,280,50,21.7%,10,10,0
3,2012-2022,' 29-2032,Diagnostic Medical Sonographers,280,380,100,35.7%,10,10,0
3,2012-2022,' 29-2033,Nuclear Medicine Technologists,70,80,10,14.3%,0,0,0
3,2012-2022,' 29-2034,Radiologic Technologists,720,810,90,12.5%,20,10,10
3,2012-2022,' 29-2041,Emergency Medical Technicians and Paramedics,1340,1650,310,23.1%,70,30,40
3,2012-2022,' 29-2051,Dietetic Technicians,70,80,10,14.3%,0,0,0
3,2012-2022,' 29-2052,Pharmacy Technicians,1110,1240,130,11.7%,20,10,10
3,2012-2022,' 29-2055,Surgical Technologists,330,390,60,18.2%,10,10,0
3,2012-2022,' 29-2056,Veterinary Technologists and Technicians,450,480,30,6.7%,0,0,0
3,2012-2022,' 29-2057,Ophthalmic Medical Technicians,160,200,40,25%,0,0,0
3,2012-2022,' 29-2061,Licensed Practical and Licensed Vocational Nurses,4400,5070,670,15.2%,180,70,110
3,2012-2022,' 29-2071,Medical Records and Health Information Technicians,530,610,80,15.1%,20,10,10
3,2012-2022,' 29-2081,"Opticians, Dispensing",350,390,40,11.4%,10,0,10
3,2012-2022,' 29-2091,Orthotists and Prosthetists,50,60,10,20%,0,0,0
3,2012-2022,' 29-2099,"Health Technologists and Technicians, All Other",400,440,40,10%,0,0,0
3,2012-2022,' 29-9000,Other Healthcare Practitioners and Technical Occupations,520,540,20,3.8%,10,0,10
3,2012-2022,' 29-9011,Occupational Health and Safety Specialists,280,280,0,0%,10,0,10
3,2012-2022,' 29-9091,Athletic Trainers,90,100,10,11.1%,0,0,0
3,2012-2022,' 29-9099,"Healthcare Practitioners and Technical Workers, All Other",120,120,0,0%,0,0,0
3,2012-2022,' 31-0000,Healthcare Support Occupations,18430,21400,2970,16.1%,650,300,350
3,2012-2022,' 31-1000,"Nursing, Psychiatric, and Home Health Aides",13720,16110,2390,17.4%,500,240,260
3,2012-2022,' 31-1011,Home Health Aides,5910,7380,1470,24.9%,260,150,110
3,2012-2022,' 31-1014,Nursing Assistants,6930,7760,830,12%,210,80,130
3,2012-2022,' 31-2000,Occupational Therapy and Physical Therapist Assistants and Aides,480,590,110,22.9%,20,10,10
3,2012-2022,' 31-2011,Occupational Therapy Assistants,150,180,30,20%,0,0,0
3,2012-2022,' 31-2021,Physical Therapist Assistants,220,270,50,22.7%,20,10,10
3,2012-2022,' 31-2022,Physical Therapist Aides,90,110,20,22.2%,0,0,0
3,2012-2022,' 31-9000,Other Healthcare Support Occupations,4230,4700,470,11.1%,130,50,80
3,2012-2022,' 31-9011,Massage Therapists,250,260,10,4%,0,0,0
3,2012-2022,' 31-9091,Dental Assistants,1110,1210,100,9%,30,10,20
3,2012-2022,' 31-9092,Medical Assistants,710,860,150,21.1%,30,20,10
3,2012-2022,' 31-9093,Medical Equipment Preparers,120,130,10,8.3%,0,0,0
3,2012-2022,' 31-9094,Medical Transcriptionists,280,280,0,0%,10,0,10
3,2012-2022,' 31-9095,Pharmacy Aides,310,310,0,0%,10,0,10
3,2012-2022,' 31-9096,Veterinary Assistants and Laboratory Animal Caretakers,200,200,0,0%,0,0,0
3,2012-2022,' 31-9097,Phlebotomists,470,590,120,25.5%,20,10,10
3,2012-2022,' 31-9099,"Healthcare Support Workers, All Other",780,850,70,9%,30,10,20
3,2012-2022,' 33-0000,Protective Service Occupations,15770,16290,520,3.3%,500,70,430
3,2012-2022,' 33-1000,Supervisors of Protective Service Workers,1600,1620,20,1.3%,50,0,50
3,2012-2022,' 33-1011,First-Line Supervisors of Correctional Officers,420,410,-10,-2.4%,20,0,20
3,2012-2022,' 33-1012,First-Line Supervisors of Police and Detectives,580,580,0,0%,20,0,20
3,2012-2022,' 33-1021,First-Line Supervisors of Fire Fighting and Prevention Workers,300,300,0,0%,10,0,10
3,2012-2022,' 33-1099,"First-Line Supervisors of Protective Service Workers, All Other",290,320,30,10.3%,10,0,10
3,2012-2022,' 33-2000,Fire Fighting and Prevention Workers,940,950,10,1.1%,30,0,30
3,2012-2022,' 33-2011,Firefighters,890,890,0,0%,20,0,20
3,2012-2022,' 33-3000,Law Enforcement Workers,7340,7200,-140,-1.9%,210,0,210
3,2012-2022,' 33-3011,Bailiffs,300,290,-10,-3.3%,10,0,10
3,2012-2022,' 33-3021,Detectives and Criminal Investigators,420,420,0,0%,10,0,10
3,2012-2022,' 33-3051,Police and Sheriff's Patrol Officers,2480,2490,10,0.4%,80,0,80
3,2012-2022,' 33-9000,Other Protective Service Workers,5880,6520,640,10.9%,220,70,150
3,2012-2022,' 33-9011,Animal Control Workers,140,150,10,7.1%,0,0,0
3,2012-2022,' 33-9032,Security Guards,4200,4710,510,12.1%,110,50,60
3,2012-2022,' 33-9091,Crossing Guards,390,390,0,0%,10,0,10
3,2012-2022,' 33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",700,790,90,12.9%,60,10,50
3,2012-2022,' 33-9099,"Protective Service Workers, All Other",290,300,10,3.4%,20,0,20
3,2012-2022,' 35-0000,Food Preparation and Serving Related Occupations,46210,52920,6710,14.5%,2430,670,1760
3,2012-2022,' 35-1000,Supervisors of Food Preparation and Serving Workers,3820,4480,660,17.3%,170,70,100
3,2012-2022,' 35-1011,Chefs and Head Cooks,380,410,30,7.9%,10,0,10
3,2012-2022,' 35-1012,First-Line Supervisors of Food Preparation and Serving Workers,3440,4070,630,18.3%,160,60,100
3,2012-2022,' 35-2000,Cooks and Food Preparation Workers,9540,10550,1010,10.6%,320,100,220
3,2012-2022,' 35-2011,"Cooks, Fast Food",1240,1310,70,5.6%,30,10,20
3,2012-2022,' 35-2012,"Cooks, Institution and Cafeteria",1280,1440,160,12.5%,50,20,30
3,2012-2022,' 35-2014,"Cooks, Restaurant",3180,3890,710,22.3%,130,70,60
3,2012-2022,' 35-2015,"Cooks, Short Order",610,640,30,4.9%,10,0,10
3,2012-2022,' 35-2021,Food Preparation Workers,3020,3030,10,0.3%,90,0,90
3,2012-2022,' 35-3000,Food and Beverage Serving Workers,27780,32160,4380,15.8%,1620,440,1180
3,2012-2022,' 35-3011,Bartenders,2230,2680,450,20.2%,130,50,80
3,2012-2022,' 35-3021,"Combined Food Preparation and Serving Workers, Including Fast Food",13650,16200,2550,18.7%,780,260,520
3,2012-2022,' 35-3022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",2190,2280,90,4.1%,140,10,130
3,2012-2022,' 35-3031,Waiters and Waitresses,8550,9580,1030,12%,510,100,410
3,2012-2022,' 35-3041,"Food Servers, Nonrestaurant",1160,1430,270,23.3%,60,30,30
3,2012-2022,' 35-9000,Other Food Preparation and Serving Related Workers,5070,5730,660,13%,330,70,260
3,2012-2022,' 35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,1540,1760,220,14.3%,90,20,70
3,2012-2022,' 35-9021,Dishwashers,2350,2650,300,12.8%,130,30,100
3,2012-2022,' 37-0000,Building and Grounds Cleaning and Maintenance Occupations,20660,22870,2210,10.7%,640,220,420
3,2012-2022,' 37-1000,Supervisors of Building and Grounds Cleaning and Maintenance Workers,1220,1340,120,9.8%,30,10,20
3,2012-2022,' 37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,840,920,80,9.5%,30,10,20
3,2012-2022,' 37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",380,420,40,10.5%,0,0,0
3,2012-2022,' 37-2000,Building Cleaning and Pest Control Workers,15250,16820,1570,10.3%,450,160,290
3,2012-2022,' 37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",10380,11440,1060,10.2%,310,110,200
3,2012-2022,' 37-2012,Maids and Housekeeping Cleaners,4560,5030,470,10.3%,140,50,90
3,2012-2022,' 37-3000,Grounds Maintenance Workers,4190,4710,520,12.4%,160,50,110
3,2012-2022,' 37-3011,Landscaping and Groundskeeping Workers,3640,4090,450,12.4%,140,50,90
3,2012-2022,' 39-0000,Personal Care and Service Occupations,24860,28150,3290,13.2%,860,330,530
3,2012-2022,' 39-1000,Supervisors of Personal Care and Service Workers,770,860,90,11.7%,20,10,10
3,2012-2022,' 39-1021,First-Line Supervisors of Personal Service Workers,740,830,90,12.2%,20,10,10
3,2012-2022,' 39-2000,Animal Care and Service Workers,1470,1590,120,8.2%,30,10,20
3,2012-2022,' 39-2011,Animal Trainers,160,180,20,12.5%,10,0,10
3,2012-2022,' 39-2021,Nonfarm Animal Caretakers,1310,1410,100,7.6%,30,10,20
3,2012-2022,' 39-3000,Entertainment Attendants and Related Workers,1360,1400,40,2.9%,80,10,70
3,2012-2022,' 39-3031,"Ushers, Lobby Attendants, and Ticket Takers",260,240,-20,-7.7%,10,0,10
3,2012-2022,' 39-3091,Amusement and Recreation Attendants,780,820,40,5.1%,40,0,40
3,2012-2022,' 39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",60,70,10,16.7%,0,0,0
3,2012-2022,' 39-4000,Funeral Service Workers,230,230,0,0%,10,0,10
3,2012-2022,' 39-4021,Funeral Attendants,100,100,0,0%,0,0,0
3,2012-2022,' 39-4031,"Morticians, Undertakers, and Funeral Directors",130,140,10,7.7%,0,0,0
3,2012-2022,' 39-5000,Personal Appearance Workers,3570,3840,270,7.6%,110,30,80
3,2012-2022,' 39-5012,"Hairdressers, Hairstylists, and Cosmetologists",2800,3000,200,7.1%,90,20,70
3,2012-2022,' 39-5091,"Makeup Artists, Theatrical and Performance",70,70,0,0%,0,0,0
3,2012-2022,' 39-6000,"Baggage Porters, Bellhops, and Concierges",110,130,20,18.2%,0,0,0
